Time[s],Packet ID,Address,Read/Write,Data
0.0000184250,1,0x90,W,0x00 0x01 0x02
0.0020130050,2,0x90,W,0x00 0x51 0x02
0.2020198000,3,0x90,W,0x00 0x52 0x01
0.2049406850,4,0x90,W,0x03 0x20 0x2A
0.2065103650,5,0x90,W,0x02 0xC5 0x83
0.2085105050,6,0x90,W,0x02 0xC6 0xA8
0.2105110100,7,0x84,W,0x03 0x18 0x6D
0.2125103800,8,0x84,W,0x00 0x00 0xC8
0.2145222600,9,0x90,W,0x00 0x00 0xD8
9.7401075400,11,0x52,W,0x00 0x00
9.7402371550,11,0x53,R,0xFF
9.7403440050,12,0x52,W,0x04 0x0B
9.7404737350,12,0x53,R,0xFF
9.7409856850,13,0x52,W,0x08 0xA0
9.7411155250,13,0x53,R,0xFF
9.7412313250,14,0x52,W,0x04 0x0B 0x00
9.7414249300,15,0x52,W,0x08 0xA0 0x04
9.7418847400,16,0x52,W,0x00 0x10 0x11
9.7420784450,17,0x52,W,0x00 0x11 0x21
9.7422661750,18,0x52,W,0x00 0x8C 0x87
11.7319680700,19,0x52,W,0x00 0x06 0xFF
11.7321869700,20,0x52,W,0x04 0x0B 0x00
11.7323701050,21,0x52,W,0x06 0xC2 0x10
11.7325606050,22,0x52,W,0x14 0xD1 0x03
11.7327464150,23,0x52,W,0x15 0xD1 0x03
11.7329291200,24,0x52,W,0x16 0xD1 0x03
11.7331115200,25,0x52,W,0x17 0xD1 0x03
11.7333028700,26,0x52,W,0x00 0x06 0xFF
11.7837481100,27,0x52,W,0x00 0xF0 0x62
11.7839398800,28,0x52,W,0x00 0xF1 0xEA
11.7841231350,29,0x52,W,0x00 0xF4 0x0F
11.7843135200,30,0x52,W,0x01 0x06 0x0A
11.7844983650,31,0x49,R,0x80 0x8C 0x85
11.7846832150,32,0x52,W,0x01 0x2A 0x0A
11.7848701900,33,0x52,W,0x00 0xCF 0x42
11.7850525850,34,0x52,W,0x09 0x0B 0x07
11.7852355250,35,0x52,W,0x09 0x2D 0x15
11.7854236800,36,0x52,W,0x09 0x0D 0x2D
11.7856377400,37,0x52,W,0x09 0x0E 0x2D
11.7877350500,38,0x52,W,0x09 0x0E
11.7878648800,38,0x53,R,0xFF
11.7879644750,39,0x52,W,0x09 0x0F 0x00
11.7881512400,40,0x52,W,0x09 0x10 0x00
11.7897318700,41,0x52,W,0x09 0x10
11.7898617200,41,0x53,R,0xFF
11.7899582200,42,0x52,W,0x09 0x11 0x01
11.7901529850,43,0x52,W,0x09 0x12 0x01
11.7917250850,44,0x52,W,0x09 0x12
11.7918547000,44,0x53,R,0xFF
11.7919622950,45,0x52,W,0x09 0x4B 0x07
11.7921473600,46,0x52,W,0x09 0x6D 0x15
11.7923300700,47,0x52,W,0x09 0x4D 0x2D
11.7925341150,48,0x52,W,0x09 0x4E 0x6D
11.7947332850,49,0x52,W,0x09 0x4F
11.7948629100,49,0x53,R,0xFF 0x94 0x60 0x34 0xF0
11.7951505550,50,0x52,W,0x09 0x50 0x40
11.7967215800,51,0x52,W,0x09 0x50
11.7968514150,51,0x53,R,0xFF
11.7969534700,52,0x52,W,0x09 0x51 0x01
11.7971444000,53,0x52,W,0x09 0x52 0x41
11.7987339900,54,0x52,W,0x09 0x52 0xA9 0xFF
11.7989737700,55,0x52,W,0x09 0x8B 0x07
11.7991597850,56,0x52,W,0x09 0xAD 0x15
11.7993486800,57,0x52,W,0x09 0x8D 0x2D
11.7995518700,58,0x52,W,0x09 0x8E 0xAD
11.8017444350,59,0x52,W,0x09 0x8E
11.8018741500,59,0x53,R,0xFF
11.8019723750,60,0x52,W,0x09 0x8F 0x00
11.8021610700,61,0x52,W,0x09 0x90 0x80
11.8037230300,62,0x52,W,0x09 0x90
11.8038528600,62,0x53,R,0xFF
11.8039615200,63,0x52,W,0x09 0x91 0x01
11.8041460450,64,0x52,W,0x09 0x92 0x81
11.8057196450,65,0x52,W,0x09 0x92
11.8058492700,65,0x53,R,0xFF
11.8059580300,66,0x52,W,0x09 0xCB 0x07
11.8061425500,67,0x52,W,0x09 0xED 0x15
11.8063330600,68,0x52,W,0x09 0xCD 0x2D
11.8065401950,69,0x52,W,0x09 0xCE 0xED
11.8087235850,70,0x52,W,0x09 0xCE
11.8088532100,70,0x53,R,0xFF
11.8089613350,71,0x52,W,0x09 0xCF 0x00
11.8091457500,72,0x52,W,0x09 0xD0 0xC0
11.8107294800,73,0x52,W,0x09 0xD0
11.8108592100,73,0x53,R,0xFF
11.8109531500,74,0x52,W,0x09 0xD1 0x01
11.8111457800,75,0x52,W,0x09 0xD2 0xC1
11.8127381450,76,0x52,W,0x09 0xD2
11.8128679900,76,0x53,R,0xFF
11.8129659800,77,0x52,W,0x08 0xA0 0x04
11.8131553100,78,0x52,W,0x08 0xA3 0xE4
11.8133438950,79,0x52,W,0x08 0xA4 0xE4
11.8135269200,80,0x52,W,0x09 0x0A 0xC0
11.8137363000,81,0x52,W,0x09 0x4A 0xC0
11.8139240200,82,0x52,W,0x09 0x8A 0xC0
11.8141068500,83,0x52,W,0x09 0xE5 0xE0
11.8142973600,84,0x52,W,0x08 0xA2 0xF6
11.8144890300,85,0x69,R,0x8E 0x80 0xFA
11.8146715100,86,0x52,W,0x1D 0x00 0xF4
11.8148610650,87,0x52,W,0x0F 0x80 0xFA
11.8150432350,88,0x52,W,0x1F 0x00 0xF4
11.8152316050,89,0x52,W,0x04 0x15 0x3C
11.8154133550,90,0x52,W,0x04 0x18 0x38
11.8155968100,91,0x52,W,0x04 0x1B 0x9C
11.8157885900,92,0x52,W,0x04 0x1F 0x9C
11.8159756800,93,0x52,W,0x1C 0x00 0xF5
11.8161660700,94,0x52,W,0x1D 0x00 0xF5
11.8163570000,95,0x52,W,0x1E 0x00 0xF5
11.8165396050,96,0x52,W,0x1F 0x00 0xF5
11.8167235000,97,0x52,W,0x00 0x01
11.8168535450,97,0x53,R,0xFF
11.8169403500,98,0x52,W,0x00 0x01 0xCC
11.8171242250,99,0x52,W,0x00 0x49 0x3F
11.8173092800,100,0x52,W,0x00 0x49
11.8174391250,100,0x53,R,0xFF
11.8175240900,101,0x52,W,0x00 0x03 0xFF
11.8177667650,102,0xC6,W
11.8178230700,103,0x84,W,0x00 0x00
11.8179529100,103,0x85,R,0xFF
11.8180378900,104,0x84,W,0x00 0x00 0xC6
11.8182284900,105,0xC6,W,0x00 0x42 0x26
11.8184242150,106,0xC6,W,0x00 0x43 0x6C
11.8186131200,107,0xC6,W,0x00 0x44 0x00
11.8188061750,108,0xC6,W,0x00 0x45 0x00
11.8189969050,109,0x52,W,0x00 0x03 0xAA
11.8192003150,110,0x52,W,0x00 0x06 0xFF
11.8193947350,111,0xC6,W,0x00 0x0D
11.8195293400,111,0xC7,R,0xFF
11.8196154150,112,0x52,W,0x03 0x2C 0x80
11.8198124400,113,0x52,W,0x03 0xD2 0x2E
11.8200002800,114,0x52,W,0x03 0x16 0x80
11.8201941900,115,0x52,W,0x03 0xBB 0x27
11.8204081500,116,0x52,W,0x08 0xA9 0xC8
11.8205972550,117,0x52,W,0x09 0x03 0x81
11.8207949150,118,0x52,W,0x09 0x43 0x81
11.8209905200,119,0x52,W,0x09 0x83 0x81
11.8211780550,120,0x52,W,0x09 0xC3 0x81
11.8214356300,121,0xC0,W,0x60
11.8368476250,122,0xC2,W
11.8417276500,123,0xC2,W
11.8469285200,124,0xC4,W
11.8517261050,125,0xC4,W
11.8569286800,126,0xC6,W,0x00 0x00
11.8570631800,126,0xC7,R,0xFF
11.8572480300,127,0xC6,W,0x00 0x00
11.8573825350,127,0xC7,R,0xFF
11.8574837500,128,0xC6,W,0x00 0x02 0x43
11.8576775600,129,0xC6,W,0x03 0x30 0x00
11.8578733950,130,0xC6,W,0x03 0x31 0x33
11.8580606750,131,0xC6,W,0x03 0x32 0xEE
11.8582548100,132,0xC6,W,0x03 0x33 0xE4
11.8584437150,133,0xC6,W,0x03 0x08 0x64
11.8586373000,134,0xC6,W,0x03 0x11 0x40
11.8588244950,135,0xC6,W,0x03 0x18 0x6D
11.8590130800,136,0xC6,W,0x02 0xD3 0x84
11.8607358800,137,0xC6,W,0x02 0xCD 0x83
11.8609248900,138,0xC6,W,0x02 0xCE 0x8E
11.8611128400,139,0xC6,W,0x02 0xD0 0x83
11.8613085600,140,0xC6,W,0x02 0xD1 0x87
11.8627478700,141,0x6C,W,0x01 0x03 0x01
11.8629432700,142,0x6C,W,0x01 0x07 0x01
11.8737429750,143,0x6C,W,0x32 0x08 0x04
11.8739345500,144,0x6C,W,0x30 0x0A 0x04
11.8741252600,145,0x6C,W,0x46 0x20 0x04
11.8743122400,146,0x6C,W,0x4D 0x56 0x04
11.8745011500,147,0x66,W,0x19 0x04 0x0A
11.8746936700,148,0x6C,W,0x32 0x08 0x02
11.8748828850,149,0x6C,W,0x46 0x20 0x04
11.8750730550,150,0x6C,W,0x32 0x08 0x15
11.8752620600,151,0x6C,W,0x32 0x08 0x02
11.8754546650,152,0x36,W,0x1A 0x03 0x00
11.8756448750,153,0x6C,W,0x32 0x08 0x12
11.8758336700,154,0x6C,W,0x32 0x04 0x51
11.8760211900,155,0x6C,W,0x03 0x05 0x5C
11.8762136100,156,0x6C,W,0x03 0x16 0x00
11.8764002700,157,0x6C,W,0x03 0x17 0x00
11.8765925700,158,0x6C,W,0x03 0x18 0x00
11.8767851000,159,0x6C,W,0x03 0x20 0x02
11.8769718500,160,0x6C,W,0x03 0x21 0x33
11.8771608600,161,0x6C,W,0x03 0x25 0x95
11.8773475350,162,0x6C,W,0x04 0x08 0xE7
11.8775379100,163,0x6C,W,0x04 0x09 0xFF
11.8777257700,164,0x6C,W,0x04 0x0A 0x2B
11.8779125300,165,0x6C,W,0x04 0x0B 0x32
11.8781079250,166,0x6C,W,0x04 0x0C 0x28
11.8783008900,167,0x6C,W,0x04 0x0D 0x5A
11.8784939500,168,0x6C,W,0x04 0x0E 0x0C
11.8786828450,169,0x6C,W,0x30 0x02 0xF8
11.8788779250,170,0x6C,W,0x30 0x12 0x41
11.8790657650,171,0x6C,W,0x28 0x03 0xFE
11.8792565900,172,0x6C,W,0x28 0x0B 0x00
11.8794434450,173,0x6C,W,0x28 0x0C 0x79
11.8796351300,174,0x6C,W,0x37 0x00 0x19
11.8798226350,175,0x6C,W,0x37 0x03 0x43
11.8800170850,176,0x6C,W,0x37 0x05 0x00 0x36 0x1B 0x03 0x1B
11.8804013900,177,0x6C,W,0x37 0x08 0x32
11.8805888050,178,0x6C,W,0x37 0x09 0x5E
11.8807805800,179,0x6C,W,0x1B 0x05 0x00
11.8809705400,180,0x6C,W,0x37 0x0B 0x41
11.8811574200,181,0x6C,W,0x37 0x0E 0x51
11.8813513300,182,0x6C,W,0x37 0x12 0x09
11.8815397950,183,0x6C,W,0x37 0x17 0x07
11.8817279600,184,0x6C,W,0x37 0x18 0x72
11.8819209150,185,0x6C,W,0x37 0x19 0x31
11.8821076750,186,0x6C,W,0x37 0x2B 0x00
11.8822942200,187,0x6C,W,0x37 0x2C 0xB0
11.8824909250,188,0x6C,W,0x37 0x2D 0x1E
11.8826854600,189,0x6C,W,0x37 0x30 0x05
11.8828732100,190,0x6C,W,0x37 0x31 0x43
11.8830668950,191,0x6C,W,0x37 0x33 0x01
11.8832561150,192,0x6C,W,0x37 0x38 0x27
11.8834494900,193,0x6C,W,0x37 0x39 0x27
11.8836364500,194,0x6C,W,0x37 0x3A 0x22
11.8838266400,195,0x6C,W,0x37 0x3B 0x1A
11.8840137550,196,0x6C,W,0x37 0x3F 0x21
11.8842025400,197,0x6C,W,0x37 0x40 0x21
11.8843892900,198,0x6C,W,0x37 0x41 0x1B
11.8845768100,199,0x6C,W,0x37 0x42 0x16
11.8847733850,200,0x6C,W,0x37 0x45 0x01
11.8849661250,201,0x6C,W,0x37 0x47 0x19
11.8851587550,202,0x6C,W,0x37 0x48 0x19
11.8853476600,203,0x6C,W,0x37 0x50 0x32
11.8855384800,204,0x6C,W,0x37 0x55 0x14
11.8857410350,205,0x6C,W,0x37 0x56 0x04
11.8859281200,206,0x6C,W,0x37 0x57 0x16
11.8861179800,207,0x6C,W,0x37 0x59 0x33
11.8863080350,208,0x6C,W,0x37 0x5A 0x00
11.8864986600,209,0x6C,W,0x37 0x5B 0x6D
11.8866856450,210,0x6C,W,0x37 0x6C 0x27
11.8868775150,211,0x6C,W,0x37 0x78 0x20
11.8870642950,212,0x6C,W,0x37 0x7C 0x88
11.8872549950,213,0x6C,W,0x37 0x97 0x00
11.8874474200,214,0x6C,W,0x37 0x98 0x00
11.8876340900,215,0x6C,W,0x37 0x99 0x00
11.8878210650,216,0x6C,W,0x37 0x9C 0x58
11.8880117650,217,0x6C,W,0x37 0x9E 0x00
11.8882014150,218,0x6C,W,0x37 0x9F 0x00
11.8883894700,219,0x6C,W,0x37 0xA0 0x00
11.8885808050,220,0x6C,W,0x37 0xA1 0x00
11.8887679050,221,0x6C,W,0x37 0xBC 0x00
11.8889575500,222,0x6C,W,0x37 0xC0 0x01
11.8891527350,223,0x6C,W,0x37 0xC4 0x34
11.8893416400,224,0x6C,W,0x37 0xC5 0x2F
11.8895308550,225,0x6C,W,0x37 0xC6 0x2A
11.8897312750,226,0x6C,W,0x37 0xC7 0x1E
